,erm_test_risk,erm_train_risk,reg_L2_test_risk,reg_L2_train_risk,test_risk,train_risk
alpha=100000.0/batch_size=100/data=phishing/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.4/seed=0/width_size=600,0.05518364533782,0.0457752868533134,0.0499366745352745,0.0417948253452777,0.0526506267488002,0.0430613383650779
alpha=100000.0/batch_size=100/data=pendigits/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=1.0/seed=0/width_size=600,0.0262008737772703,0.0105531299486756,0.021834060549736,0.0090975258499383,0.0262008737772703,0.0118267834186553
alpha=100000.0/batch_size=100/data=pendigits/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=1.0/seed=0/width_size=600,0.0262008737772703,0.0105531299486756,0.0263828244060277,0.0121906846761703,0.0236535668373107,0.0120087340474128
alpha=100000.0/batch_size=100/data=phishing/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.4/seed=0/width_size=600,0.05518364533782,0.0457752868533134,0.0591641068458557,0.0559073649346828,0.0517459772527217,0.0405283160507679
alpha=100000.0/batch_size=100/data=phishing/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.6/seed=0/width_size=600,0.05518364533782,0.0457752868533134,0.0499366745352745,0.0417948253452777,0.05518364533782,0.0428804084658622
alpha=100000.0/batch_size=100/data=phishing/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.6/seed=0/width_size=600,0.05518364533782,0.0457752868533134,0.0591641068458557,0.0559073649346828,0.0495748147368431,0.0401664562523365
alpha=100000.0/batch_size=100/data=phishing/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.8/seed=0/width_size=600,0.05518364533782,0.0457752868533134,0.0499366745352745,0.0417948253452777,0.0540980659425258,0.0423376150429248
alpha=100000.0/batch_size=100/data=phishing/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.8/seed=0/width_size=600,0.05518364533782,0.0457752868533134,0.05898317694664,0.0544599257409572,0.0629636347293853,0.0479464456439018
alpha=100000.0/batch_size=100/data=satimage/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.0/seed=0/width_size=600,0.1893068104982376,0.1408144235610962,0.2057817876338958,0.1498290300369262,0.2079577147960662,0.1482747942209243
alpha=100000.0/batch_size=100/data=satimage/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.0/seed=0/width_size=600,0.1893068104982376,0.1408144235610962,0.2048492282629013,0.1433012038469314,0.2067143321037292,0.1467205435037613
alpha=100000.0/batch_size=100/data=satimage/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.4/seed=0/width_size=600,0.1893068104982376,0.1408144235610962,0.2147963941097259,0.1504507213830948,0.177805408835411,0.1470313966274261
alpha=100000.0/batch_size=100/data=phishing/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=1.0/seed=0/width_size=600,0.05518364533782,0.0457752868533134,0.0531934164464473,0.0437850579619407,0.0499366745352745,0.0421566851437091
alpha=100000.0/batch_size=100/data=phishing/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=1.0/seed=0/width_size=600,0.05518364533782,0.0457752868533134,0.05898317694664,0.0544599257409572,0.0528315566480159,0.0388999469578266
alpha=100000.0/batch_size=100/data=satimage/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.4/seed=0/width_size=600,0.1893068104982376,0.1408144235610962,0.2048492282629013,0.1433012038469314,0.1737643778324127,0.145477145910263
alpha=100000.0/batch_size=100/data=satimage/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.6/seed=0/width_size=600,0.1893068104982376,0.1408144235610962,0.2147963941097259,0.1504507213830948,0.1837115287780761,0.138016790151596
alpha=100000.0/batch_size=100/data=satimage/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.6/seed=0/width_size=600,0.1893068104982376,0.1408144235610962,0.2060926258563995,0.142368659377098,0.1737643778324127,0.1405035704374313
alpha=100000.0/batch_size=100/data=satimage/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.8/seed=0/width_size=600,0.1893068104982376,0.1408144235610962,0.2147963941097259,0.1504507213830948,0.1743860691785812,0.1364625394344329
alpha=100000.0/batch_size=100/data=satimage/depth_size=2/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.8/seed=0/width_size=600,0.1893068104982376,0.1408144235610962,0.2048492282629013,0.1433012038469314,0.1827789843082428,0.1280696243047714
alpha=100000.0/batch_size=100/data=segmentation/depth_size=2/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=FullyConnectedModel/ratio_set_size=0.0/seed=0/width_size=600,0.388744592666626,0.1740259826183319,0.2155844271183014,0.1411255449056625,0.1757575869560241,0.1411255449056625
